Biography,DateOfBirth,FirstName,Nationality,Role,SecondName
,NULL,أفلام,Egypt,Distributor,مصر العالمية للانتاج والتوزيع
,NULL,Ahmad,Egypt,MusicComposer,Rizq
,NULL,mamdouuh,Egypt,Cinematographer,Qotb
, 2 May 1982,Doaa,Egypt,Actor,Teama
,NULL,علي,Egypt,GraphicDesigner,المصري
,NULL,دعاء,Egypt,Director,يوسف
,NULL,Youssef,Egypt,Actor,Ismail
,NULL,زهرة,Egypt,Actor,إبراهيم
,NULL,Hisham,Egypt,Actor,Wattar
,NULL,Ibrahim,Egypt,Actor,Al Basha
,NULL,Azza,Egypt,Actor,Salem
,NULL,Islam,Egypt,GraphicDesigner,Bassyouni
,NULL,Ola,Egypt,Actor,Abdul-Baqi
,NULL,Samia,Egypt,Actor,Abdullah
,NULL,Osama,Egypt,Editor,Elwardany
,NULL,Muhammad,Egypt,Actor,Al Massrahi
,NULL,Sabah,Egypt,Actor,Mahmoud
,NULL,Muhammad,Egypt,Producer,Hadi
,NULL,Atef,Egypt,Actor,Abdellateef
,15 July 2014,Reem,Syria,Actor,abd El kader
,NULL,Muhammad,Egypt,Editor,Hassan
,23 October 1987,Mostafa,Egypt,Actor,Al-Ali
, 6 March 1954,Rozaika,United Arab Emirates,Actor,El Taresh
,NULL,Hussein,Egypt,Director,Walaa
,NULL,Madonna,Egypt,Director,Adly
,NULL,Mohamed,Egypt,Director,Mohie El Din
,NULL,Ali,Egypt,Cinematographer,Asar
,NULL,Adel,Egypt,Actor,El Husseiny
,NULL,عامر,Egypt,Actor,أحمد
,NULL,Mahmoud,Egypt,Actor,Safrot
, 4 June 1990,Omar,Egypt,Actor,Sharqi
,NULL,Saleh,Egypt,Director,Amr
,NULL,Bassant,Egypt,Director,El Bakri
,NULL,زكى,Egypt,Producer,شطا
,NULL,Mohamed,Egypt,Director,Emad Fayed
,NULL,منتصر,Egypt,Actor,مخلوف
,NULL,Mozes,null,Actor,Louis
,NULL,Mohamed,Egypt,Actor,Mekawy
,NULL,Gilan,Egypt,Actor,Alaa
,NULL,رمضان,Egypt,Actor,أحمد
,NULL,ديدي,Egypt,Actor,مجاهد
,NULL,الشركة,Egypt,Distributor,العربية للسينما
,NULL,وائل,Egypt,Actor,أبو السعود
, 1 January 1965,Sherif,Egypt,Actor,Baher
,11 October 1984,bassam,Egypt,SoundEngineer,elelaimy
,NULL,Ahmed,Egypt,Producer,Fawzy
,NULL,Ali,Egypt,Producer,Allam
,NULL,Mahmod,Egypt,Cinematographer,Al Nemr
"Nabil is a young Egyptian performer. (Mohamed Heneidy assigned him his debut role in the production “Ya Ana ya Khalti”).
Thereafter his career in cinema progressed.",24 October 1978,Nabil,Egypt,Actor,Issa
,NULL,Ema,Tunisia,Actor,Al Amiri
,NULL,Layla,Egypt,Actor,Hussain
,NULL,Mohamed,Egypt,Director,El-ash-hab
"Mohamed Karim is an Egyptian actor. He was born in 1980, and started working in the arts in Los Angeles after finishing his high school. He started appearing in television series like ""Ahlam Moa'agala"" (postponed Dreams) and ""Banat Afkary"" (My Dear", 2 January 1980,Mohamed,Egypt,Actor,Karim
,NULL,Khaled,Egypt,null,dyab
,NULL,Ameera,Egypt,Actor, Al Hawari
,NULL,Abeer,Egypt,Actor,Farouq
,NULL,هشام,Egypt,Writer,هاشم
,30 November 1990,Mohamed,Egypt,Actor,Al-Daqqaq
,NULL,Ahmed,Egypt,Writer,harby
,NULL,Blue,Egypt,null,sky media production 
,NULL,Bosy,Egypt,null,Ahmed
,NULL,Essam,Egypt,Actor,Eldin Galal
,NULL,صالح,Egypt,MakeupArtist,القاضي
,NULL,وائل,Egypt,Cinematographer,خلف
,NULL,Ahmed,Egypt,Editor,Gharib
,20 February 1984,shaimaa,Egypt,Actor,el sherif 
,NULL,محمود,Egypt,Cinematographer,شاهين
,NULL,Ali,Egypt,Actor,Ghalib
,NULL,Mohamed,Egypt,Director,Hamdy El Khabeeri
,NULL,Omar,Egypt,ArtDirector,Emam
,NULL,هبة,Egypt,ArtDirector,عزام
,NULL,طارق,Egypt,MakeupArtist,الصغير
,NULL,Yassmine,Egypt,ArtDirector,atef
,NULL,Fawwaz,Egypt,MakeupArtist,Mahmoud
,NULL,احمد,Egypt,Actor,الباز
,NULL,أم,Egypt,Actor,رباب
,NULL,جهاد,Egypt,Actor,بيبو
,NULL,أحمد,Egypt,Actor,الشبوكشي
,NULL,Rasha,Egypt,Actor,Abu El Saoud
,NULL,إيهاب,Egypt,Actor,أبو الدهب
,NULL,Ahmed,Egypt,Actor,Mansh
,NULL,طارق,Egypt,Actor,شلبي
,NULL,Adel,Egypt,Actor,Abdulnabi
,NULL,Ahmad,Egypt,MakeupArtist,Al Khawaja
,NULL,هبة,Egypt,Actor,خيال
,NULL,Bassant,Egypt,Actor,Ashraf
,NULL,Sayed,Egypt,ArtDirector,hassan
,NULL,Fathy,Egypt,Actor,Ismail
,NULL,محمد,Egypt,Producer,عبدالغني
,10 July 1991,sherif,Egypt,Director,salama
, 1 October 1990,mohamed,Egypt,Actor,swwedi
"Mariam graduated from the (Institute of Theatrical Arts). She is of Lebanese background.
Her cinema debut was in “45 days”. This role was followed by a (brief absence) and she returned to the screen in the film “Walad wa Bint”.", 1 May 1988,Mariam,Lebanon,Actor,Hassan
,16 February 1985,Sayed,Egypt,Actor,Mamdouh
, 1 October 1990,Ahmed,Egypt,MusicComposer,Mo'men
,NULL,Esam,Egypt,null,totsh
,NULL,Ali,Egypt,Cinematographer,Al-Ghazuly
,NULL,Mennatallah,Egypt,Writer,ebaid
,NULL,Amr,Egypt,Actor,Darwish
,NULL,Sally,Egypt,Actor,El Mahdi
,NULL,فرح,Egypt,Actor,محمد
,NULL,,Egypt,ArtDirector,Mahmoud El-Nuby
,NULL,Reem,Egypt,CostumeDesigner,Salama
,NULL,Anas,Egypt,Director,Tolba
,15 June 2006,Ahd,Egypt,Actor,abdelmoneim
,NULL,Ahmed,Egypt,Producer,Fawzy Mansour
,13 October 1982,Mohamed,Egypt,Actor,El Fouly
,NULL,Waheed,Egypt,Actor,Shaboulla
,NULL,هبة,Egypt,Actor,الزيات
,NULL,Mustapha,Egypt,Writer,Ammar
,NULL,ياسمين,Egypt,Actor,صالح
,NULL,Raghda,Egypt,Actor,Diab
,NULL,Tariq,Egypt,Actor,Galal
,13 March 1978,Abdullah,Egypt,Actor,Ellkatib
,NULL,خلود,Egypt,Actor,احمد فوزي
,30 August 1987,Zina,Egypt,Actor,Al-Alimi
,NULL,Walaa,null,PublicRelations,Nour
,23 January 1984,Hassan,Egypt,Actor,Abdallah
,NULL,Ahmed,Egypt,Actor,Abdel Mawla
,NULL,Amir,null,PublicRelations,Abdallah
,NULL,Zizo,Egypt,Actor,
,NULL,Alaa,null,MakeupArtist,El fezzy
"Mariam Naoum is an Egyptian screenwriter. She stopped studying economics in France to return to Egypt and study screenwriting at the High Institute of Cinema. Following her graduation, she started working in the advertisement field, before writing her critically acclaimed film",NULL,Mariam,Egypt,Writer,Naoum
,NULL,Karim,Egypt,Writer,El Dalel
,NULL,Fawzi,Egypt,Cinematographer,Darwish
,NULL,أسامة,Egypt,SoundEngineer,العليمي
,NULL,مراد,Egypt,Actor,لاتونة
,NULL,Mohamed,Egypt,MakeupArtist,Zizo
,NULL,Saeed,Egypt,Actor,El Maghrabi
,NULL,مريم,Egypt,Actor,محمود
,NULL,جميل,Egypt,MakeupArtist,سعيد
,NULL,Bassem,Egypt,SoundEngineer,gamal
,NULL,Mohammad,Egypt,Writer,Al-Hadari
, 9 October 1982,Rana,Egypt,Actor,Magdy
,NULL,Hamada,Egypt,Actor,El Khatiri
,NULL,دعاء,Egypt,Actor,عبيد
,23 May 1978,Mohamed,Egypt,Actor,Nashaat
,NULL,Karem,Egypt,Actor,Emara
"Nedal El Shafey is an Egyptian actor. He was born in Cairo in 1978, and graduated from the acting and directing department of the high Institute of Theatrical Arts in 1999. He participated in a workshop organized by theater director and writer Khaled Galal, which gave him the",12 June 1978,Nedal,Egypt,Actor,Al-Shafeay
,NULL,Hussein,null,Writer,Abo El-Dahab
,NULL,Walid,Egypt,Actor,Youssef
,26 June 1984,Sherif,Egypt,Actor,Rawash
,NULL,Abobakr,Egypt,null,ahmed
,NULL,عهدي,Egypt,Actor,السنان
,NULL,muhamad,Egypt,Director,aldra
,NULL,Amr,Egypt,null,Adel
,NULL,دنيا,Egypt,null,عوني
,NULL,رحمي,Egypt,null,أحمد
,NULL,أماني,Egypt,Actor,الوحش
,NULL,طارق,Egypt,Actor,السفاح
,NULL,Aziza,Egypt,Actor,
,NULL,باهر,Egypt,Actor,الشريف
,NULL,هدير,Egypt,Actor,سليمان
,NULL,حسام,Egypt,Actor,الرفاعي
,NULL,مصطفى,Egypt,Actor,صوفي
,NULL,A,Egypt,null,Farag
,NULL,منى,Egypt,Actor,حجاج
,NULL,مريم,Egypt,Actor,سرحان
,31 March 1992,Sara,Egypt,Actor,Derzawy
,NULL,مروان,Egypt,Cinematographer,صابر
,NULL,Sarah,null,Producer,Riad
,19 September 1984,Hassan,Egypt,Writer,Reda
, 1 September 1965,Farouq,Syria,Actor,Al Shami
,NULL,ملك,Egypt,Actor,عماد
,NULL,Lala,Egypt,Actor,El Shalaany
,29 January 1963,Ashraf,Egypt,MusicComposer,Mahrous
,NULL,Eman,Egypt,Actor,Al Shawki
,NULL,محمد,Egypt,Actor,تامر رزق
,NULL,Samar,Egypt,Actor,Metwally
, 5 October 1954,Kuwait,Kuwait,Distributor,National Cinema Company (Cinescape)
,NULL,Tunisian,Egypt,Writer,Amani
,NULL,Nour,Egypt,Actor,Fakhry
,NULL,Randa,Egypt,Actor,Ibrahim
,23 October 1990,Hosny,Egypt,Editor,arabi
,NULL,هاني,Egypt,Director,العادلي
,26 January 1993,Ahmed,Egypt,Actor,Kotb
,NULL,Salma,Egypt,Actor,Hassan
, 6 February 1986,Hosam,Egypt,Director,Algazar
,NULL,محمود,Egypt,Actor,فؤاد
, 2 April 1996,Rawan,Egypt,Actor,Atef
,NULL,Ramses,Egypt,ArtDirector,Selim
"Omar Roushdy is an Egyptian director. He graduated from the High Institute of Cinema, and worked as an assistant director with Sherif Arafa in films like “Halim” and “X-Large”.  ",23 July 1987,Omar,Egypt,Director,Roushdy Hamed
,NULL,Khaled,Egypt,Actor,Badawi
,NULL,Mohamed,Egypt,Actor,Essam
,15 October 1980,Muhammad,Egypt,Actor,Al Bayaa
,24 March 1986,Sarah,Egypt,Actor,Al Wakil
,NULL,Hamdy,Egypt,Actor,Hefny
"Ahmed Ezz was born on July 3, 1971. He began a career in modeling after graduating from the Faculty of Arts from the English division. Ezz began working as a model in the hopes that it would later give him access to acting jobs. However the venture was not successful. After some",23 July 1971,Ahmed,Egypt,Actor,Ezz
,NULL,شريف,Egypt,ArtDirector,مصطفى
,NULL,Ehab,null,Producer,El Koury
,NULL,حسني,Egypt,SoundEngineer,علي
,16 August 1960,Hagag,Egypt,Actor,Abdel Azim
Egyptian actor Enaam Salosa (,15 December 1939,Enaam,Egypt,Actor,Salosa
,NULL,محمد,Egypt,null,ابوالعينين
,NULL,Farid,Egypt,Actor,El Masry
,NULL,أحمد,Egypt,Cinematographer,مصطفى
Mazen Saeed a young director who graduated from the university of media and journalism. He worked as a director and producer for a Lebanese channel  doing video clips for songs. In 2009 he directed the Permedia Production Company  and later on that year he built his own,25 October 1980,Mazen,Egypt,Actor,Said
,NULL,Mahmoud,Egypt,Actor,Omar
,11 April 1998,Samir,Egypt,Director,El-Berry
,NULL,Hazzem,Egypt,null,Abdelazim
,NULL,أسماء,Egypt,Actor,غازي
,24 October 1959,High,Egypt,Producer,Cinema Institute
,NULL,Hani,Egypt,Actor,Al-Sabbagh
,NULL,Sameh,Egypt,Cinematographer,Fawzi
,NULL,Basem,Egypt,Director,Aly
,NULL,Gomaa,Egypt,Director,Badran
,20 November 1990,gehad,Egypt,Actor,mahdy
Belal Fadl was born in 1974 in the Cairo district of Manshiyet al-Bakry. He spent his childhood in Alexandria where his family resides in the district of Mahram Beyk. Fadl studied at the Journalism department at Cairo University’s Media faculty from which he graduated in 1995., 5 September 1974,Belal,Egypt,Writer,Fadl
"Esraa Abdelfattah is an Egyptian actress. She graduated from the Marine Academy, then started her acting career through Khaled Galal's acting school. Her breakthrough came after she appeared in Ashraf Abdel Baky's television show “Teatro Masr” in 2013.",20 August 1991,Esraa,Egypt,Actor,Abdulfattah
"Khaled Mahran is an Egyptian director. He has several projects in their development phases, including a historical epic set in ancient Egypt.  ",NULL,Khaled,Egypt,Director,Mahran
,NULL,Sayed,Egypt,Director,Amin Seko
,28 September 1974,Romany,Egypt,Director,Saad
, 8 August 1977,Ali,Egypt,MusicComposer,Alhelbawy
,NULL,نور,Egypt,Actor,عاشور
,NULL,Nivan,Egypt,Actor,Saber
,NULL,صوت,Egypt,MusicComposer,في الزحمة
,NULL,حاتم,Egypt,Photographer,الجمل
,19 March 1973,Khairy,Egypt,Director,Salem
,NULL,رضا,Egypt,Actor,السيد
,NULL,Mohammed,Egypt,Actor,Abu El Fath
,NULL,Ramadan,null,Actor,Sadiq
,30 September 1985,Amr,Egypt,Actor,Kamal
,NULL,Ibrahim,Egypt,Actor,Salah
,NULL,محمد,Egypt,Actor,شدة
,NULL,Ayman,Egypt,Producer,Abas
,NULL,سليم,Egypt,Actor,
,NULL,Wafaa,Egypt,Actor,Al Sayed
,NULL,Yes,Egypt,Director,Koptan
,29 December 1977,Amr,Egypt,Actor,Elmohamady
, 4 April 1989,Léa,France,Writer,Mysius	
,NULL,Reham,Egypt,Actor,Hassan
Sandy is an Egyptian young singer who will start her acting career with the film “Leila waheda i.e. A single night”.,22 April 1986,Sandy,Egypt,Other,
,NULL,Mohamed,Egypt,Writer,Nabawi 
,NULL,Mohamed,Egypt,Actor,Hazeen
,NULL,Sarah,Egypt,Actor,Sami
,NULL,Bakkar,Egypt,Actor,Awadin
,NULL,Hammad,Egypt,Actor,Muhammad
, 1 January 1972,Nermine,Egypt,Actor,Zazza
,NULL,Alaa,Egypt,Actor,Commandos
,NULL,راندا,Egypt,Actor,القصاص
,NULL,أحمد,Egypt,Actor,مهران
,NULL,Mohamed,Egypt,Actor,Hassan
,20 June 1976,Walid,Egypt,null,Farouk
,NULL,Mahmoud,Egypt,Director,Abdeltawwab
,NULL,Osama,Egypt,ArtDirector,Al Shenawy
,NULL,Sayed,Egypt,Actor,Adgal
,NULL,Samar,Egypt,Actor,Jalal
"Brett Cullen is an American film and television actor who's had a long career in TV, with major roles in ""Falcon Crest"" (1986-1988), ""The Thorn Birds"" (1983). He's worked on a host of made-for-television movies and has had an impressive number of guest",26 August 1956,Brett,US,Actor,Cullen
,NULL,Najwa,Egypt,Actor,Al-Hajj
,NULL,Iman,Egypt,Actor,Imam
,NULL,باتريك,Egypt,Cinematographer,تيلاندر
"Maher Essam was born in Imbaba. He started his acting career when he was only 5 years old with the famous director Youssef Chahine. Hassan Abd El Salam cast him in the adapted play “Zoqaq El Madaa.”,[نزيف حاد بالمخ]", 5 October 1979,Maher,Egypt,Actor,Essam
,NULL,سالي,Egypt,Actor,حسين
,10 November 1980,Karim,Egypt,ArtDirector,Shatila
,NULL,Mustafa,Egypt,Actor,Agha
,NULL,محمد,Egypt,Actor,الصياد
,NULL,مصطفى,Egypt,Actor,فوزي
,NULL,Ali,Egypt,Actor,Al-Ashry
,NULL,Latifa,Egypt,Actor,Ahmed
,NULL,مالك,Egypt,Actor,نادر
,NULL,Mohammed,Egypt,Actor,Farag
, 4 April 1989,Mohamed,Egypt,Director,Saadoun
,NULL,محمود,Egypt,Actor,صبيكة
"Aly Idris started his career upon his graduation from the High Institute of Cinema in 1988, and working as an assistant director starting with the movie  “Youth On The Edge”  in 1990. Following this movie were many more hits. He worked as an assistant director for 23 movies as",14 November 1963,Ali,Egypt,Director,Idris
,NULL,Moustafa,Egypt,Actor,Hussain Darwish
,NULL,Muhammad,Egypt,Actor,Fouad
,11 March 1976,Mohamed,Egypt,MusicComposer,Adawya
,NULL,Ehab,Egypt,null,Hegazi
,NULL,Basma,Egypt,CostumeDesigner,Elghamry
"“Mohammed Mahmoud” is a theatre actor and producer. Born in Cairo on September 21, 1951, he received a degree in Social Work in 1973 and a degree from the High Institute for Theatrical Arts in 1981. He went onto to get an advanced degree in production in 1985. He has appeared in", 2 September 1951,Mohamed,Egypt,Actor,Mahmoud
, 5 August 1979,Mohamed,Egypt,Producer,Diasty
,NULL,Bird,Egypt,Producer,Eye
, 1 August 1958,سامح,Egypt,Cinematographer,سليم
,NULL,محمد,Egypt,Cinematographer,الجمل
,NULL,Mohamed,Egypt,Actor,Bondok
,NULL,Mohamed,Egypt,Actor,Gamal Qalbaz
,NULL,Mahmoud,Egypt,Actor,Spider
, 1 March 1970,Nehad,Egypt,Producer,Kamal
,15 December 1985,Wesam,Egypt,Producer,Seif Elislam
,NULL,أحمد,Egypt,Cinematographer,سيد
, 2 September 1981,عبدالله,Egypt,GraphicDesigner,البسيوني
He graduated from University of pharmacy Helwan University in 2005 ,10 November 1982,Mohamed,Egypt,Writer,Nayer
,23 June 1997,Ahmed,Egypt,Actor,Adel
,NULL,Hisham,Egypt,Actor,Atata
"Ahmed Mekky is a popular Egyptian-Algerian actor, writer, director and rapper. He was born in Algeria to an Algerian father and an Egyptian mother, but grew up in the Cairo neighborhood of Haram. He began his career in cinema after graduating from the directing division at the",19 June 1978,Ahmed,Egypt,Actor,Mekky
,NULL,عمار,Egypt,Actor,ياسر
,NULL,Hager,Egypt,Actor,Al-Sharnouby
,NULL,مصطفى,Egypt,Producer,محمود
,NULL,وائل,Egypt,Actor,خليل
,NULL,Magy,Egypt,Writer,Mokhtar
"Assaala
Syrian singer, Asala Moustafa Nasry was born in Damascus to a middle class couple. Moustafa Nasry, Assaala's father, was a well-known Syrian composer and singer. Asala began her musical career by performing patriotic, religious and children's songs when she was",15 May 1969,Assala,Bahrain,Other,
,NULL,محمد,Egypt,Cinematographer,حسن
,NULL,Inas,Tunisia,Actor,Ali
,NULL,Khaled,Egypt,Actor,Elshewy
,NULL,رحاب,Egypt,ArtDirector,عبدالرحمن
,NULL,Ahmed,Egypt,Actor,Abdel Moati
,21 September 1975,Mahmoud,Egypt,Director,Kamel
,NULL,Hassan,Egypt,Actor,El-Prince
,NULL,Nada,Egypt,Actor,
,20 September 1975,Ayman,Egypt,Actor,El Sharkawy
,NULL,Ahmed,Egypt,Director,Al Shorbaagy
,NULL,May,Egypt,null,Alhosamy
,NULL,Essam,Egypt,Writer,Fauzi
,NULL,Ahmed,Egypt,Director,Shaheen
ممثلة يمنية، ومخرجة، عرفت من خلال أفلامها (بيت التوت، ليس للكرامة جدران).,NULL,Sara,Yemen,Director,Ishaq
,NULL,Wael,Egypt,Director,Abdel Qader
,NULL,Amer,Egypt,Editor,Shabana
"Mokhtar El Sayed is an Egyptian actor who started acting at the beginning of the 1950s with the film “El Zohour El Fatina” (The Tempting Flowers) in 1952. He had a number of small roles in films, such as a doctor, officer, or employee. He continued to play distinguished smaller",NULL,Maher,Egypt,Actor,Maher
,17 April 1971,Ahmed,Egypt,Director,Atef
,20 July 1960,Tarek,Egypt,Actor,Kamal
,NULL,Asaad,Egypt,Producer,Taha
,NULL,Jamal,Egypt,Actor,Yousuf
,NULL,Muhammad,Egypt,Actor,Salama
,NULL,دعاء,Egypt,Editor,فتحي
"She is a new actor daughter of artist Ahmed Thu El Fakar Sheeha  she has 3 sisters in the field of acting and cinema Hala , Maya  and Inas. ",25 December 1985,Hana,Egypt,Actor,Shiha
,23 November 1954,Rageh,Egypt,MusicComposer,Daoud
,NULL,Mohammad,Egypt,Director,Qabil
, 2 October 1988,Mustafa,Egypt,Director,Al Arabi
,NULL,محمود,Egypt,Writer,دهموش
"Born on December 11th 1911, he was an Egyptian writer who won the 1988 Nobel Prize for Literature.  He is regarded as one of the first contemporary writers of Arabic literature, along with Tawfiq el-Hakim, to explore themes of existentialism He published over 50 novels, over 350",11 December 1911,Naguib,Egypt,Writer,Mahfouz 
,27 June 1985,Yousef,Egypt,Director,Hisham Ali
,NULL,Sameh,Egypt,Actor,Kamal
,NULL,مجدي,Egypt,MakeupArtist,حسين
,NULL,mohamed,Egypt,ArtDirector,gamal
,NULL,Hala,Egypt,Editor,mohey eldeen
,15 August 1975,Alaa,Egypt,Writer,Elsherif
"Mohamed Shawqy Shamekh Mohamed Bayoumi was an Egyptian actor. He was born in Elhelmeya district of central Cairo, and received a bachelor's degree in business management from Ein Shams university in 1972. He worked as a accounting auditor in the ministry of education, before,[أزمة قلبية]",25 July 1949,Shawqi,Egypt,Actor,Shamekh
,NULL,Ahmed,Egypt,Actor,Zaidan
,NULL,أسامة,Egypt,Actor,قطة
,NULL,Mohamed,Egypt,Director,Asqalani
,NULL,Saeed,Egypt,Producer,Tawfik
,NULL,Mostafa,Egypt,Writer,Ammar
,NULL,أحمد,Egypt,Actor,ماهر
,NULL,ندى,Egypt,Producer,السبكي
,NULL,Walaa,Egypt,Actor,Samir
,NULL,Ghada,Egypt,Actor,Adel Ramadan
,NULL,Ahmed,Egypt,Actor,Barquka
,NULL,Saeed,Egypt,Actor,Samara
,20 November 1990,Marwa,Egypt,Actor,El Azaly
,15 October 1979,mahmoud,Egypt,Actor,ramadan
,NULL,Majid,Egypt,Director,Abdul Malak
,NULL,ممدوح,Egypt,CostumeDesigner,كودك
,NULL,Ramez,Egypt,null,Talaat
,24 December 1964,Ashraf,Egypt,Actor,Farouk
,22 August 1977,Safaa,Egypt,Actor,Safwat
,NULL,Adel,Egypt,Actor,Samir
, 6 September 1961,Awad,Egypt,Actor,Badawy
,NULL,ماجى,Egypt,null,انيس
,NULL,إلهام,Egypt,Actor,السودانية
,NULL,Waleed,Egypt,Actor,Victor
,NULL,مرام,Egypt,Actor,
,NULL,Art,Egypt,Producer,Template
,NULL,Remon,Egypt,SoundEngineer,Fouad
, 4 August 1976,sayed,Egypt,Stuntman,hashim
,NULL,karam,Egypt,null,jabu allah
,NULL,Mahmoud,Egypt,MusicComposer,Talaat
,28 October 1974,Doaa,Egypt,Director,Agrama
,NULL,ايمن,Egypt,Cinematographer,الصاوي
,NULL,TimeCode,Egypt,GraphicDesigner,post production 
,NULL,سيد,Egypt,Producer,أمين
,NULL,Gamal,Egypt,Laboratory,Hola
"Kareem el-A’dl began his career at an early age before enrolling in the High Institute for Cinema. Prior to his formal training Kareem worked as an assistant director alongside several major directors. He also directed four shorts, the most important of which was “al-Harb", 7 December 1985,Kareem,Egypt,Director,El-Adl
,NULL,Mahmoud,Egypt,Cinematographer,Youssef
,NULL,Joseph,Egypt,Cinematographer,Louis Mokadem
,NULL,مرام,Egypt,Actor,نصار
,NULL,شريف,Egypt,Cinematographer,جلال
,NULL,وسام,Egypt,Actor,هنداوي
,NULL,يارا,Egypt,Actor,خالد
,NULL,Mohamed,Egypt,Actor,Abdel Moaty
,NULL,Ahmed,Egypt,Actor,Hassan
,NULL,Saad,Egypt,Actor,Yassin
,NULL,حسن,Egypt,Actor,حسين
,NULL,الأكسير,Egypt,Editor,ستوديو
,NULL,Doa,Egypt,Actor,Elweshahy
,NULL,Mahmoud,Egypt,Laboratory,El Touni
,NULL,Omar,Egypt,GraphicDesigner,Naguib
"The famous Egyptian decoration designer, Hamdi Abdel Rahman was born on the 10th of November 1977. He designed the decoration of many movies and received many awards. ",NULL,Hamdi,Egypt,ArtDirector,Abdel Rahman
,NULL,سليم,Egypt,Cinematographer,حسن
, 5 September 2015,عبدالرحمن,Egypt,ArtDirector,مجدي
,NULL,إميل,Egypt,Producer,عبدالمسيح
,NULL,Magdy,Egypt,Producer,Abd-Elmessih
,NULL,أحمد,Egypt,Actor,حسين
,NULL,Omar,Egypt,Cinematographer,Mohamed
,NULL,Technicolor-London,UK,Laboratory,
,NULL,Muhammad,Egypt,Actor,Aman
,NULL,Salah,Egypt,Actor,Afifi
,NULL,Nabil,Egypt,Writer,Shoeib
,NULL,شادي,Egypt,Cinematographer,عبدالله
"Egyptian actor, Heba Abdel Aziz played the role of Nabila Obeid in the series “El Bawaba El Tania” (The Second Gate) in 2009. Following that performance, she has appeared in numerous television series including, “El Siyad” (The Hunter) and “Saraya Abdeen” (Abdeen Palace) in 2014,",21 December 1984,Heba,Egypt,Actor,Abdelaziz
,NULL,ضياء,Egypt,Actor,شفيق
,NULL,Ashraf,Egypt,Actor,Maher
,NULL,ياسمين,Egypt,Actor,رحيم
[حادث سير], 6 October 2017,Dalia,Egypt,Actor,Al-Touny
,NULL,Ehab,Egypt,Cinematographer,Mohamed Ali
,NULL,زهرة,Egypt,Actor,محمد
, 1 October 1978,moheb,Egypt,Actor,sidhom
,NULL,Hind,Egypt,Actor,Ali
,18 March 1969,Amr,Egypt,Actor,Yousri
,NULL,Hussain,Egypt,Actor,Al Asmar
,18 August 1980,Hegazy,Egypt,Actor,Metqal
,20 February 1982,Amro,Egypt,Director,Salah
Fatma A’del is an amateur Egyptian actress. She presented her first role in the title “Basra”.,NULL,Fatima,Egypt,Actor,Adel
,NULL,sherif,Egypt,Producer,shehata
,NULL,وائل,Egypt,Cinematographer,درويش
,NULL,Lubna,Egypt,Actor,Abdulaziz
,NULL,Doaa,Egypt,Actor,Saif Aldeen
, 1 June 1986,Mahmoud,Egypt,Actor,Hussain
"Heshaam ‘Abbaas is a distinguished Egyptian singer; he worked as a sound engineer before meeting the great composer-arranger-singer Hameed al-Shaa’ery who helped him to become a singer. Heshaam excelled and became very popular through his songs, including “Halaal ‘aleik i.e. It’s",13 September 1963,Hisham,Egypt,Other,Abbass
Judy is an Egyptian actress. Her first foray into the world of cinema was in the film (“Al Laana”).,NULL,Judi,Egypt,Actor,
"Mai Kassab got her start in music as part of a musical duet with the Syrian musician Magd Al Kassem. Their band was called “Ghamid Eneyk” and released its first album “Hagga Tiksif” in 2005. In 2007, the band released another album called “Ahla al Kalam.” Mai’s first television", 8 December 1981,May,Egypt,Actor,Kassab
,NULL,Tahiya,Egypt,Actor,Sharif
,NULL,Amr,Egypt,Actor,Rajab
[أزمة قلبية مفاجئة],13 December 1944,Hanaa,Egypt,Actor,Abdel Fattah
,NULL,محمد,Egypt,Actor,اسكان
,10 September 1970,Amr,Egypt,Actor,Mahdi
,NULL,أبو,Egypt,Actor,العلا جمال
,NULL,عادل,Egypt,Casting,النبوي
,NULL,Thaer,Egypt,Producer,Younis
,NULL,Jamil,Egypt,Actor,El Adawi
,NULL,Ibrahim,Egypt,Actor,El-Qalmawi
,21 April 1975,Adham,Egypt,Actor,Afifi
"Merritt Osama is the daughter of artist Shereen and producer Mohammed Osama. Her first cinematic role was in 2008 when she appeared in the film “Hassan and Marcus,” directed by Ramy Imam. She also worked with director Amr Arafa in the film Helm Aziz (2012) and played the role of",12 January 1988,Merritt,Egypt,Actor,
,NULL,حسني,Egypt,Actor,راشد
,NULL,Omnia,Egypt,Actor,Mostafa
,NULL,Hazem,Egypt,Producer,Shuaib
,NULL,سيد,Egypt,Actor,عبدالحميد
,NULL,وليد,Egypt,Casting,بجة
,NULL,هدى,Egypt,Actor,صقر
,NULL,Shaima,Egypt,Director,Jabr
,NULL,Sara,Egypt,Director,Wafiq
,NULL,Hamada,Egypt,Actor,Al Laythy
,NULL,نسمة,Egypt,Actor,المرسي
,NULL,Ayman,Egypt,Actor,Al Meleji
,NULL,فريدة,Egypt,Actor,الحاروني
,NULL,Jamal,Egypt,Actor,Abdulqader
,NULL,Mohsen,Egypt,Actor,Muhammad
,NULL,Nora,Egypt,Actor,Saafan
, 1 June 1968,Muhammad,Egypt,Actor,Farghali
,NULL,حازم,Egypt,Actor,مجدي
,NULL,آسر,Egypt,Actor,
,NULL,Firas,Egypt,ArtDirector,Asaeed
,NULL,رزق,Egypt,Actor,الله كمال
